Image,"(1, 'R=000-063', 'G=000-063', 'B=000-063')","(2, 'R=064-127', 'G=000-063', 'B=000-063')","(3, 'R=128-191', 'G=000-063', 'B=000-063')","(4, 'R=192-255', 'G=000-063', 'B=000-063')","(5, 'R=000-063', 'G=064-127', 'B=000-063')","(6, 'R=064-127', 'G=064-127', 'B=000-063')","(7, 'R=128-191', 'G=064-127', 'B=000-063')","(8, 'R=192-255', 'G=064-127', 'B=000-063')","(9, 'R=000-063', 'G=128-191', 'B=000-063')","(10, 'R=064-127', 'G=128-191', 'B=000-063')","(11, 'R=128-191', 'G=128-191', 'B=000-063')","(12, 'R=192-255', 'G=128-191', 'B=000-063')","(13, 'R=000-063', 'G=192-255', 'B=000-063')","(14, 'R=064-127', 'G=192-255', 'B=000-063')","(15, 'R=128-191', 'G=192-255', 'B=000-063')","(16, 'R=192-255', 'G=192-255', 'B=000-063')","(17, 'R=000-063', 'G=000-063', 'B=064-127')","(18, 'R=064-127', 'G=000-063', 'B=064-127')","(19, 'R=128-191', 'G=000-063', 'B=064-127')","(20, 'R=192-255', 'G=000-063', 'B=064-127')","(21, 'R=000-063', 'G=064-127', 'B=064-127')","(22, 'R=064-127', 'G=064-127', 'B=064-127')","(23, 'R=128-191', 'G=064-127', 'B=064-127')","(24, 'R=192-255', 'G=064-127', 'B=064-127')","(25, 'R=000-063', 'G=128-191', 'B=064-127')","(26, 'R=064-127', 'G=128-191', 'B=064-127')","(27, 'R=128-191', 'G=128-191', 'B=064-127')","(28, 'R=192-255', 'G=128-191', 'B=064-127')","(29, 'R=000-063', 'G=192-255', 'B=064-127')","(30, 'R=064-127', 'G=192-255', 'B=064-127')","(31, 'R=128-191', 'G=192-255', 'B=064-127')","(32, 'R=192-255', 'G=192-255', 'B=064-127')","(33, 'R=000-063', 'G=000-063', 'B=128-191')","(34, 'R=064-127', 'G=000-063', 'B=128-191')","(35, 'R=128-191', 'G=000-063', 'B=128-191')","(36, 'R=192-255', 'G=000-063', 'B=128-191')","(37, 'R=000-063', 'G=064-127', 'B=128-191')","(38, 'R=064-127', 'G=064-127', 'B=128-191')","(39, 'R=128-191', 'G=064-127', 'B=128-191')","(40, 'R=192-255', 'G=064-127', 'B=128-191')","(41, 'R=000-063', 'G=128-191', 'B=128-191')","(42, 'R=064-127', 'G=128-191', 'B=128-191')","(43, 'R=128-191', 'G=128-191', 'B=128-191')","(44, 'R=192-255', 'G=128-191', 'B=128-191')","(45, 'R=000-063', 'G=192-255', 'B=128-191')","(46, 'R=064-127', 'G=192-255', 'B=128-191')","(47, 'R=128-191', 'G=192-255', 'B=128-191')","(48, 'R=192-255', 'G=192-255', 'B=128-191')","(49, 'R=000-063', 'G=000-063', 'B=192-255')","(50, 'R=064-127', 'G=000-063', 'B=192-255')","(51, 'R=128-191', 'G=000-063', 'B=192-255')","(52, 'R=192-255', 'G=000-063', 'B=192-255')","(53, 'R=000-063', 'G=064-127', 'B=192-255')","(54, 'R=064-127', 'G=064-127', 'B=192-255')","(55, 'R=128-191', 'G=064-127', 'B=192-255')","(56, 'R=192-255', 'G=064-127', 'B=192-255')","(57, 'R=000-063', 'G=128-191', 'B=192-255')","(58, 'R=064-127', 'G=128-191', 'B=192-255')","(59, 'R=128-191', 'G=128-191', 'B=192-255')","(60, 'R=192-255', 'G=128-191', 'B=192-255')","(61, 'R=000-063', 'G=192-255', 'B=192-255')","(62, 'R=064-127', 'G=192-255', 'B=192-255')","(63, 'R=128-191', 'G=192-255', 'B=192-255')","(64, 'R=192-255', 'G=192-255', 'B=192-255')"
2051ready7,0.019322728738188744,0.0,0.0,0.0,0.0010054813465103507,0.032428961247205734,0.0,0.0,0.0,0.029639841988682747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03812960162758827,0.0,0.0,0.0,0.1800248771905899,0.9684271812438965,0.0,0.0,0.0,0.06937821209430695,0.008760803379118443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10600396990776062,0.0,0.0,0.0,0.09830110520124435,0.013831926509737968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2029ready20,0.10146181285381317,0.0027161268517374992,0.0,0.0,0.022101275622844696,0.5071712136268616,5.514978329301812e-05,0.0,0.0,0.3176489770412445,0.05639065429568291,0.0,0.0,0.0,0.0,0.0,0.0002343865780858323,0.00015166190860327333,0.0,0.0,2.757489164650906e-05,0.08698499202728271,0.0032814121805131435,0.0,0.0,0.3013935685157776,0.7272188067436218,0.0001378744636895135,0.0,0.0,0.00405350886285305,0.00011029956658603624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021081004291772842,0.0028126388788223267,0.0,0.0,0.012036439962685108,0.005473616067320108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000358473596861586
2147disease10,0.03101523593068123,0.0009785026777535677,0.0,0.0,0.0005167373456060886,0.024501048028469086,0.0002198882430093363,0.0,0.0,5.497206075233407e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.00031883796327747405,0.00012643574154935777,0.0,0.0,9.345250145997852e-05,0.5428600907325745,0.014023372903466225,0.0,0.0,0.16631796956062317,0.8188363313674927,0.00047825693036429584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002693631104193628,1.0994412150466815e-05,0.0,0.0,2.7486030376167037e-05,0.07337670773267746,0.0016271730419248343,0.0,0.0,0.0007696088287048042,0.0005277317832224071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2147disease12,0.04004332050681114,0.004546057432889938,0.0,0.0,0.0007603162666782737,0.1232108324766159,1.5839921616134234e-05,0.0,0.0,0.0007919960771687329,7.127964636310935e-05,0.0,0.0,0.0,0.0,0.0,0.0007761561428196728,0.00015047925990074873,0.0,0.0,0.00026135871303267777,0.1933024823665619,0.023585643619298935,0.0,0.0,0.05677028000354767,0.9619346857070923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12929336726665497,0.0,0.0,0.0,0.0035956623032689095,0.00010295949323335662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2089late6,0.08113665878772736,0.017590580508112907,0.0,0.0,0.00025831739185377955,0.37946823239326477,0.013315844349563122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003249799192417413,0.0007666193414479494,0.0,0.0,0.0,0.5366334915161133,0.5073270201683044,0.0,0.0,0.0025748410262167454,0.549049437046051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166409416939132e-05,0.0,0.0,0.0,0.04597216099500656,0.0012749212328344584,0.0,0.0,1.6665637303958647e-05,0.0002499845577403903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012499227887019515
2075late8,0.10362886637449265,0.00412362813949585,0.0,0.0,0.000293546385364607,0.2365913987159729,0.001167196431197226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004389217589050531,0.0006639739731326699,0.0,0.0,0.0009854772360995412,0.5925164222717285,0.4503490924835205,0.0,0.0,0.00040537360473535955,0.6118625402450562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013279479753691703,4.19351999880746e-05,0.0,0.0,1.3978399692859966e-05,0.07055597007274628,0.0015446131583303213,0.0,0.0,0.0,4.892439756076783e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2145disease9,0.03401771932840347,0.013218078762292862,0.0,0.0,7.533620373578742e-05,0.14471399784088135,0.0005958408582955599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004862609494011849,0.0003561347839422524,0.0,0.0,0.00021915986144449562,0.8290749192237854,0.046112604439258575,0.0,0.0,0.03249045088887215,0.5263329744338989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09830004721879959,0.016984889283776283,0.0,0.0,0.00011642867320915684,0.014149508439004421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.848745670140488e-06,0.00010957993072224781
2147disease13,0.03505222499370575,0.012486414983868599,0.0,0.0,0.0,0.2230563908815384,0.015477490611374378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031857614521868527,0.00031857614521868527,0.0,0.0,5.309602420311421e-05,0.33023956418037415,0.2882671654224396,0.0,0.0,7.079469651216641e-05,0.8659253120422363,0.07903342694044113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012468716129660606,0.01538899727165699,0.0,0.0,0.0,0.00023893210163805634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2077late15,0.05866909399628639,0.022066285833716393,0.0,0.0,3.0765124392928556e-05,0.21616345643997192,0.02225087583065033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003922553441952914,0.0010460142511874437,0.0,0.0,7.691281098232139e-06,0.2078491747379303,0.7122818231582642,0.0,0.0,3.845640458166599e-05,0.6274316310882568,2.307384420419112e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.922153261257336e-05,0.0,0.0,0.0,0.060661133378744125,0.021443292498588562,0.0,0.0,0.0,0.02176632545888424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5382562196464278e-05,0.0,0.0,0.0,0.004168674349784851
2147disease4,0.04398701339960098,0.006380809471011162,0.0,0.0,5.163660898688249e-05,0.10626813769340515,0.059728801250457764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019843210466206074,0.000265559705439955,0.0,0.0,0.00041309287189505994,0.34558168053627014,0.2593190371990204,0.0,0.0,0.002176114125177264,0.8924576044082642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011655120179057121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
